empid,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,salary,left
1,0.38,0.53,2,157,3,0,0,low,1
2,0.8,0.86,5,262,6,0,0,medium,1
3,0.11,0.88,7,272,4,0,0,medium,1
4,0.72,0.87,5,223,5,0,0,low,1
5,0.37,0.52,2,159,3,0,0,low,1
6,,0.5,2,153,3,0,0,low,1
7,0.1,0.77,6,247,4,0,0,low,1
8,0.92,0.85,5,259,5,0,0,low,1
9,0.89,1,5,224,5,0,0,low,1
10,0.42,0.53,2,142,3,0,0,low,1
11,0.45,0.54,2,135,3,0,0,low,1
12,0.11,0.81,6,305,4,0,0,low,1
13,0.84,0.92,4,234,5,0,0,low,1
14,0.41,0.55,2,148,3,0,0,low,1
15,0.36,0.56,2,137,3,0,0,low,1
16,,0.54,2,143,3,0,0,low,1
17,0.45,0.47,2,160,3,0,0,low,1
18,0.78,0.99,4,255,6,0,0,low,1
19,0.45,0.51,2,160,3,1,1,low,1
20,0.76,0.89,5,262,5,0,0,low,1
21,0.11,0.83,6,282,4,0,0,low,1
22,0.38,0.55,2,147,3,0,0,low,1
23,0.09,0.95,6,304,4,0,0,low,1
24,0.46,0.57,2,139,3,0,0,low,1
25,0.4,0.53,2,158,3,0,0,low,1
26,0.89,0.92,5,242,5,0,0,low,1
27,0.82,0.87,4,239,5,0,0,low,1
28,0.4,0.49,2,135,3,0,0,low,1
29,0.41,0.46,2,128,3,0,0,low,1
30,0.38,0.5,2,132,3,0,0,low,1
31,0.09,0.62,6,294,4,0,0,low,1
32,0.45,0.57,2,134,3,0,0,low,1
33,0.4,0.51,2,145,3,0,0,low,1
34,0.45,0.55,2,140,3,0,0,low,1
35,0.84,0.87,4,246,6,0,0,low,1
36,0.1,0.94,6,255,4,0,0,low,1
37,0.38,0.46,2,137,3,0,0,low,1
38,0.45,0.5,2,126,3,0,0,low,1
39,0.11,0.89,6,306,4,0,0,low,1
40,0.41,0.54,2,152,3,0,0,low,1
41,0.87,0.88,5,269,5,0,0,low,1
42,0.45,0.48,2,158,3,0,0,low,1
43,0.4,0.46,2,127,3,0,0,low,1
44,0.1,0.8,7,281,4,0,0,low,1
45,0.09,0.89,6,276,4,0,0,low,1
46,0.84,0.74,3,182,4,0,0,low,1
47,0.4,0.55,2,147,3,0,0,low,1
48,0.57,0.7,3,273,6,0,0,low,1
49,0.4,0.54,2,148,3,0,0,low,1
50,0.43,0.47,2,147,3,0,0,low,1
51,0.13,0.78,6,152,2,0,0,low,1
52,0.44,0.55,2,135,3,0,0,low,1
53,0.38,0.55,2,134,3,0,0,low,1
54,0.39,0.54,2,132,3,0,0,low,1
55,0.1,0.92,7,307,4,0,0,low,1
56,0.37,0.46,2,140,3,0,0,low,1
57,0.11,0.94,7,255,4,0,0,low,1
58,0.1,0.81,6,309,4,0,0,low,1
59,0.38,0.54,2,128,3,0,0,low,1
60,0.85,1,4,225,5,0,0,low,1
61,0.85,0.91,5,226,5,0,0,medium,1
62,0.11,0.93,7,308,4,0,0,medium,1
63,0.1,0.95,6,244,5,0,0,medium,1
64,0.36,0.56,2,132,3,0,0,medium,1
65,0.11,0.94,6,286,4,0,0,medium,1
66,0.81,0.7,6,161,4,0,0,medium,1
67,0.43,0.54,2,153,3,0,0,medium,1
68,0.9,0.98,4,264,6,0,0,medium,1
69,0.76,0.86,5,223,5,1,0,medium,1
70,0.43,0.5,2,135,3,0,0,medium,1
71,0.74,0.99,2,277,3,0,0,medium,1
72,0.09,0.77,5,275,4,0,0,medium,1
73,0.45,0.49,2,149,3,0,0,high,1
74,0.09,0.87,7,295,4,0,0,low,1
75,0.11,0.97,6,277,4,0,0,medium,1
76,0.11,0.79,7,306,4,0,0,medium,1
77,0.1,0.83,6,295,4,0,0,medium,1
78,0.4,0.54,2,137,3,0,0,medium,1
79,0.43,0.56,2,157,3,0,0,low,1
80,0.39,0.56,2,142,3,0,0,low,1
81,0.45,0.54,2,140,3,0,0,low,1
82,0.38,0.49,2,151,3,0,0,low,1
83,0.79,0.59,4,139,3,0,1,low,1
84,0.84,0.85,4,249,6,0,0,low,1
85,0.11,0.77,6,291,4,0,0,low,1
86,0.11,0.87,6,305,4,0,0,low,1
87,0.17,0.84,5,232,3,0,0,low,1
88,0.44,0.45,2,132,3,0,0,low,1
89,0.37,0.57,2,130,3,0,0,low,1
90,0.1,0.79,6,291,4,0,0,low,1
91,0.4,0.5,2,130,3,0,0,low,1
92,0.89,1,5,246,5,0,0,low,1
93,0.42,0.48,2,143,3,0,0,low,1
94,0.46,0.55,2,129,3,0,0,low,1
95,0.09,0.83,6,255,4,0,0,low,1
96,0.37,0.51,2,155,3,0,0,low,1
97,0.1,0.77,6,265,4,0,0,low,1
98,0.1,0.84,6,279,4,0,0,low,1
99,0.11,0.97,6,284,4,0,0,low,1
100,0.9,1,5,221,6,0,0,medium,1
101,0.38,0.52,2,154,3,0,0,medium,1
102,0.36,0.52,2,147,3,0,0,medium,1
103,0.42,0.46,2,150,3,0,0,medium,1
104,0.09,0.94,7,267,4,0,0,medium,1
105,0.43,0.52,2,158,3,0,0,medium,1
106,0.24,0.46,7,224,5,0,0,medium,1
107,0.91,1,4,257,5,0,0,medium,1
108,0.44,0.5,2,148,3,0,0,medium,1
109,0.71,0.87,3,177,4,0,0,medium,1
110,0.4,0.49,2,155,3,0,0,medium,1
111,0.43,0.47,2,144,3,0,0,medium,1
112,0.09,0.85,6,289,4,0,0,high,1
113,0.43,0.52,2,160,3,0,0,low,1
114,0.9,0.96,4,258,5,0,0,medium,1
115,0.84,1,5,234,5,0,0,medium,1
116,0.37,0.48,2,137,3,0,0,medium,1
117,0.86,0.68,5,263,2,0,0,medium,1
118,0.11,0.84,6,251,4,0,0,low,1
119,0.37,0.57,2,133,3,0,0,low,1
120,0.4,0.46,2,132,3,0,0,low,1
121,0.14,0.62,4,158,4,1,0,low,1
122,0.4,0.46,2,135,3,0,0,low,1
123,0.75,1,4,216,6,0,0,low,1
124,0.11,0.84,6,300,5,1,0,low,1
125,0.46,0.49,2,138,3,0,0,low,1
126,0.11,0.92,6,260,4,0,0,low,1
127,0.38,0.49,2,132,3,0,0,low,1
128,0.7,0.89,3,183,5,0,0,low,1
129,0.09,0.82,6,250,4,0,0,low,1
130,0.37,0.45,2,151,3,0,0,low,1
131,0.1,0.83,6,292,4,0,0,low,1
132,0.38,0.57,2,140,3,0,0,low,1
133,0.9,1,5,221,5,0,0,low,1
134,0.44,0.51,2,138,3,0,0,low,1
135,0.36,0.5,2,132,3,0,0,low,1
